date,state,fips,cases,deaths,cases_daily,deaths_daily
2020-07-06,Alabama,01,44878,1007,925,0
2020-07-07,Alabama,01,45785,1033,907,26
2020-07-08,Alabama,01,46962,1058,1177,25
2020-07-09,Alabama,01,49174,1068,2212,10
2020-07-10,Alabama,01,50508,1104,1334,36
2020-07-11,Alabama,01,51947,1114,1439,10
2020-07-12,Alabama,01,53587,1121,1640,7
2020-07-13,Alabama,01,55545,1124,1958,3
2020-07-14,Alabama,01,57255,1164,1710,40
2020-07-15,Alabama,01,59067,1211,1812,47
2020-07-16,Alabama,01,61088,1230,2021,19
2020-07-17,Alabama,01,63091,1265,2003,35
2020-07-18,Alabama,01,65234,1286,2143,21
2020-07-19,Alabama,01,67011,1287,1777,1
2020-07-20,Alabama,01,68891,1291,1880,4
2020-07-21,Alabama,01,70358,1303,1467,12
2020-07-22,Alabama,01,71813,1364,1455,61
2020-07-23,Alabama,01,74212,1397,2399,33
2020-07-24,Alabama,01,76005,1438,1793,41
2020-07-25,Alabama,01,78130,1456,2125,18
2020-07-26,Alabama,01,79294,1473,1164,17
2020-07-27,Alabama,01,81115,1491,1821,18
2020-07-28,Alabama,01,82366,1491,1251,0
2020-07-29,Alabama,01,83782,1538,1416,47
2020-07-30,Alabama,01,85762,1565,1980,27
2020-07-31,Alabama,01,87723,1580,1961,15
2020-08-01,Alabama,01,89349,1603,1626,23
2020-08-02,Alabama,01,91444,1627,2095,24
2020-08-03,Alabama,01,92661,1633,1217,6
2020-08-04,Alabama,01,93702,1666,1041,33
2020-08-05,Alabama,01,94654,1695,952,29
2020-08-06,Alabama,01,96592,1714,1938,19
2020-08-07,Alabama,01,98301,1735,1709,21
2020-08-08,Alabama,01,100173,1755,1872,20
2020-08-09,Alabama,01,101334,1768,1161,13
2020-08-10,Alabama,01,103020,1797,1686,29
2020-08-11,Alabama,01,103851,1847,831,50
2020-08-12,Alabama,01,104786,1882,935,35
2020-08-13,Alabama,01,105557,1890,771,8
2020-08-14,Alabama,01,106309,1893,752,3
2020-08-15,Alabama,01,107580,1896,1271,3
2020-08-16,Alabama,01,108433,1898,853,2
2020-08-17,Alabama,01,109004,1925,571,27
2020-08-18,Alabama,01,110361,1936,1357,11
2020-08-19,Alabama,01,111478,1944,1117,8
2020-08-20,Alabama,01,112449,1974,971,30
2020-08-21,Alabama,01,113632,1996,1183,22
2020-08-22,Alabama,01,114532,2011,900,15
2020-08-23,Alabama,01,115060,2013,528,2
2020-08-24,Alabama,01,116710,2024,1650,11
2020-08-25,Alabama,01,117242,2037,532,13
2020-08-26,Alabama,01,119254,2045,2012,8
2020-08-27,Alabama,01,121023,2076,1769,31
2020-08-28,Alabama,01,122185,2107,1162,31
2020-08-29,Alabama,01,123889,2152,1704,45
2020-08-30,Alabama,01,125235,2162,1346,10
2020-08-31,Alabama,01,126058,2182,823,20
2020-09-01,Alabama,01,127616,2200,1558,18
2020-09-02,Alabama,01,128239,2217,623,17
2020-09-03,Alabama,01,129285,2233,1046,16
2020-09-04,Alabama,01,130393,2266,1108,33
2020-09-05,Alabama,01,131803,2275,1410,9
2020-09-06,Alabama,01,132314,2276,511,1
2020-09-07,Alabama,01,132973,2276,659,0
2020-09-08,Alabama,01,133606,2277,633,1
2020-09-09,Alabama,01,134417,2285,811,8
2020-09-10,Alabama,01,135565,2301,1148,16
2020-09-11,Alabama,01,136703,2333,1138,32
2020-09-12,Alabama,01,137646,2350,943,17
2020-09-13,Alabama,01,138755,2351,1109,1
2020-09-14,Alabama,01,139459,2355,704,4
2020-09-15,Alabama,01,140160,2387,701,32
2020-09-16,Alabama,01,141087,2392,927,5
2020-09-17,Alabama,01,141757,2401,670,9
2020-09-18,Alabama,01,142863,2428,1106,27
2020-09-19,Alabama,01,144164,2437,1301,9
2020-09-20,Alabama,01,144962,2437,798,0
2020-09-21,Alabama,01,145780,2439,818,2
2020-09-22,Alabama,01,146584,2457,804,18
2020-09-23,Alabama,01,147153,2488,569,31
2020-09-24,Alabama,01,148206,2506,1053,18
2020-09-25,Alabama,01,150658,2491,2452,-15
2020-09-26,Alabama,01,151591,2501,933,10
2020-09-27,Alabama,01,152321,2502,730,1
2020-09-28,Alabama,01,152983,2501,662,-1
2020-09-29,Alabama,01,153554,2517,571,16
2020-09-30,Alabama,01,154701,2540,1147,23
2020-10-01,Alabama,01,155744,2548,1043,8
2020-10-02,Alabama,01,156698,2550,954,2
2020-10-03,Alabama,01,158380,2558,1682,8
2020-10-04,Alabama,01,159169,2558,789,0
2020-10-05,Alabama,01,159713,2559,544,1
2020-10-06,Alabama,01,160477,2580,764,21
2020-10-07,Alabama,01,161418,2601,941,21
2020-10-08,Alabama,01,161975,2637,557,36
2020-10-09,Alabama,01,163465,2653,1490,16
2020-10-10,Alabama,01,164526,2664,1061,11
2020-10-11,Alabama,01,165342,2664,816,0
2020-10-12,Alabama,01,166076,2665,734,1
2020-10-13,Alabama,01,167193,2665,1117,0
2020-10-14,Alabama,01,167977,2706,784,41
2020-10-15,Alabama,01,169162,2756,1185,50
2020-10-16,Alabama,01,170374,2786,1212,30
2020-10-17,Alabama,01,171662,2788,1288,2
2020-10-18,Alabama,01,172626,2788,964,0
2020-10-19,Alabama,01,173485,2789,859,1
2020-10-20,Alabama,01,174528,2805,1043,16
2020-10-21,Alabama,01,175674,2828,1146,23
2020-10-22,Alabama,01,177064,2843,1390,15
2020-10-23,Alabama,01,180916,2859,3852,16
2020-10-24,Alabama,01,183276,2866,2360,7
2020-10-25,Alabama,01,184355,2866,1079,0
2020-10-26,Alabama,01,185322,2866,967,0
2020-10-27,Alabama,01,186437,2892,1115,26
2020-10-28,Alabama,01,187706,2911,1269,19
2020-10-29,Alabama,01,189149,2914,1443,3
2020-10-30,Alabama,01,190496,2932,1347,18
2020-10-31,Alabama,01,192285,2967,1789,35
2020-11-01,Alabama,01,193985,2973,1700,6
2020-11-02,Alabama,01,194892,2973,907,0
2020-11-03,Alabama,01,195929,2987,1037,14
2020-11-04,Alabama,01,197777,3006,1848,19
2020-11-05,Alabama,01,199158,3026,1381,20
2020-11-06,Alabama,01,200714,3049,1556,23
2020-11-07,Alabama,01,202482,3082,1768,33
2020-11-08,Alabama,01,203687,3084,1205,2
2020-11-09,Alabama,01,204857,3084,1170,0
2020-11-10,Alabama,01,206567,3120,1710,36
2020-11-11,Alabama,01,208637,3201,2070,81
2020-11-12,Alabama,01,210637,3213,2000,12
2020-11-13,Alabama,01,213617,3231,2980,18
2020-11-14,Alabama,01,215843,3246,2226,15
2020-11-15,Alabama,01,217822,3248,1979,2
2020-11-16,Alabama,01,219232,3249,1410,1
2020-11-17,Alabama,01,220848,3301,1616,52
2020-11-18,Alabama,01,223486,3347,2638,46
2020-11-19,Alabama,01,225910,3419,2424,72
2020-11-20,Alabama,01,228373,3451,2463,32
2020-11-21,Alabama,01,230708,3457,2335,6
2020-11-22,Alabama,01,232506,3457,1798,0
2020-11-23,Alabama,01,234080,3459,1574,2
2020-11-24,Alabama,01,236865,3472,2785,13
2020-11-25,Alabama,01,239318,3532,2453,60
2020-11-26,Alabama,01,241957,3572,2639,40
2020-11-27,Alabama,01,242874,3572,917,0
2020-11-28,Alabama,01,244993,3572,2119,0
2020-11-29,Alabama,01,247229,3577,2236,5
2020-11-30,Alabama,01,249524,3578,2295,1
2020-12-01,Alabama,01,252900,3638,3376,60
2020-12-02,Alabama,01,256828,3711,3928,73
2020-12-03,Alabama,01,260359,3776,3531,65
2020-12-04,Alabama,01,264199,3831,3840,55
2020-12-05,Alabama,01,267589,3877,3390,46
2020-12-06,Alabama,01,269877,3889,2288,12
2020-12-07,Alabama,01,272229,3892,2352,3
2020-12-08,Alabama,01,276665,3942,4436,50
2020-12-09,Alabama,01,280187,3985,3522,43
2020-12-10,Alabama,01,284922,4034,4735,49
2020-12-11,Alabama,01,288775,4086,3853,52
2020-12-12,Alabama,01,292841,4102,4066,16
2020-12-13,Alabama,01,295631,4102,2790,0
2020-12-14,Alabama,01,297895,4102,2264,0
2020-12-15,Alabama,01,301533,4124,3638,22
2020-12-16,Alabama,01,305640,4198,4107,74
2020-12-17,Alabama,01,310335,4254,4695,56
2020-12-18,Alabama,01,315683,4296,5348,42
2020-12-19,Alabama,01,319904,4389,4221,93
2020-12-20,Alabama,01,322452,4389,2548,0
2020-12-21,Alabama,01,324832,4389,2380,0
2020-12-22,Alabama,01,329811,4452,4979,63
2020-12-23,Alabama,01,334569,4587,4758,135
2020-12-24,Alabama,01,338801,4676,4232,89
2020-12-25,Alabama,01,342426,4680,3625,4
2020-12-26,Alabama,01,343458,4685,1032,5
2020-12-27,Alabama,01,345628,4691,2170,6
2020-12-28,Alabama,01,347897,4712,2269,21
2020-12-29,Alabama,01,351804,4737,3907,25
2020-12-30,Alabama,01,356820,4774,5016,37
2020-12-31,Alabama,01,361226,4827,4406,53
2021-01-01,Alabama,01,365747,4872,4521,45
2021-01-02,Alabama,01,369458,4872,3711,0
2021-01-03,Alabama,01,371934,4873,2476,1
2021-01-04,Alabama,01,374095,4878,2161,5
2021-01-05,Alabama,01,379593,4886,5498,8
2021-01-06,Alabama,01,384184,4994,4591,108
2021-01-07,Alabama,01,389230,5080,5046,86
2021-01-08,Alabama,01,394287,5191,5057,111
2021-01-09,Alabama,01,399150,5299,4863,108
2021-01-10,Alabama,01,401900,5334,2750,35
2021-01-11,Alabama,01,404000,5347,2100,13
2021-01-12,Alabama,01,407848,5573,3848,226
2021-01-13,Alabama,01,410995,5760,3147,187
2021-01-14,Alabama,01,414583,5945,3588,185
2021-01-15,Alabama,01,417528,6030,2945,85
2021-01-16,Alabama,01,420681,6119,3153,89
2021-01-17,Alabama,01,422598,6120,1917,1
2021-01-18,Alabama,01,424028,6121,1430,1
2021-01-19,Alabama,01,426543,6126,2515,5
2021-01-20,Alabama,01,429655,6283,3112,157
2021-01-21,Alabama,01,432536,6379,2881,96
2021-01-22,Alabama,01,436087,6486,3551,107
2021-01-23,Alabama,01,439442,6657,3355,171
2021-01-24,Alabama,01,441170,6660,1728,3
2021-01-25,Alabama,01,443009,6662,1839,2
2021-01-26,Alabama,01,445909,6896,2900,234
2021-01-27,Alabama,01,449086,7172,3177,276
2021-01-28,Alabama,01,452734,7340,3648,168
2021-01-29,Alabama,01,455582,7566,2848,226
2021-01-30,Alabama,01,455582,7566,0,0
2021-01-31,Alabama,01,459639,7688,4057,122
2021-02-01,Alabama,01,460860,7688,1221,0
2021-02-02,Alabama,01,462938,7894,2078,206
2021-02-03,Alabama,01,465056,8203,2118,309
2021-02-04,Alabama,01,467823,8365,2767,162
2021-02-05,Alabama,01,469319,8449,1496,84
2021-02-06,Alabama,01,471311,8513,1992,64
2021-02-07,Alabama,01,472423,8515,1112,2
2021-02-08,Alabama,01,473348,8523,925,8
2021-02-09,Alabama,01,474666,8579,1318,56
2021-02-10,Alabama,01,476067,8888,1401,309
2021-02-11,Alabama,01,477570,9021,1503,133
2021-02-12,Alabama,01,478667,9180,1097,159
2021-02-13,Alabama,01,479856,9242,1189,62
2021-02-14,Alabama,01,480931,9242,1075,0
2021-02-15,Alabama,01,481605,9244,674,2
2021-02-16,Alabama,01,482488,9257,883,13
2021-02-17,Alabama,01,483167,9346,679,89
2021-02-18,Alabama,01,484365,9424,1198,78
2021-02-19,Alabama,01,485212,9573,847,149
2021-02-20,Alabama,01,485986,9590,774,17
2021-02-21,Alabama,01,486843,9592,857,2
2021-02-22,Alabama,01,487520,9592,677,0
2021-02-23,Alabama,01,488973,9660,1453,68
2021-02-24,Alabama,01,490220,9744,1247,84
2021-02-25,Alabama,01,491110,9831,890,87
2021-02-26,Alabama,01,491849,9869,739,38
2021-02-27,Alabama,01,492683,9930,834,61
2021-02-28,Alabama,01,493252,9929,569,-1
2021-03-01,Alabama,01,493769,9931,517,2
2021-03-02,Alabama,01,494421,9991,652,60
2021-03-03,Alabama,01,497154,10029,2733,38
2021-03-04,Alabama,01,498076,10094,922,65
2021-03-05,Alabama,01,498887,10122,811,28
2021-03-06,Alabama,01,499411,10149,524,27
2021-03-07,Alabama,01,499819,10148,408,-1
2021-03-08,Alabama,01,500092,10148,273,0
2021-03-09,Alabama,01,500616,10186,524,38
2021-03-10,Alabama,01,501398,10222,782,36
2021-03-11,Alabama,01,502263,10274,865,52
2021-03-12,Alabama,01,502711,10299,448,25
2021-03-13,Alabama,01,503305,10327,594,28
2021-03-14,Alabama,01,503673,10327,368,0
2021-03-15,Alabama,01,508229,10329,4556,2
2021-03-16,Alabama,01,508717,10337,488,8
2021-03-17,Alabama,01,509476,10363,759,26
2021-03-18,Alabama,01,510048,10391,572,28
2021-03-19,Alabama,01,510579,10425,531,34
2021-03-20,Alabama,01,511087,10436,508,11
2021-03-21,Alabama,01,511460,10436,373,0
2021-03-22,Alabama,01,511779,10436,319,0
2021-03-23,Alabama,01,511789,10450,10,14
2021-03-24,Alabama,01,512711,10487,922,37
2021-03-25,Alabama,01,513138,10504,427,17
2021-03-26,Alabama,01,513580,10523,442,19
2021-03-27,Alabama,01,514072,10526,492,3
2021-03-28,Alabama,01,514391,10526,319,0
2021-03-29,Alabama,01,514619,10526,228,0
2021-03-30,Alabama,01,514980,10527,361,1
2021-03-31,Alabama,01,515388,10554,408,27
2021-04-01,Alabama,01,515866,10553,478,-1
2021-04-02,Alabama,01,516266,10607,400,54
2021-04-03,Alabama,01,516615,10637,349,30
2021-04-04,Alabama,01,516809,10637,194,0
2021-04-05,Alabama,01,516918,10638,109,1
2021-04-06,Alabama,01,517114,10652,196,14
2021-04-07,Alabama,01,517452,10652,338,0
2021-04-08,Alabama,01,517916,10675,464,23
2021-04-09,Alabama,01,518234,10686,318,11
2021-04-10,Alabama,01,518588,10712,354,26
2021-04-11,Alabama,01,518899,10712,311,0
2021-04-12,Alabama,01,519071,10712,172,0
2021-04-13,Alabama,01,520503,10722,1432,10
2021-04-14,Alabama,01,520780,10728,277,6
2021-04-15,Alabama,01,521201,10736,421,8
2021-04-16,Alabama,01,521623,10739,422,3
2021-04-17,Alabama,01,522131,10790,508,51
2021-04-18,Alabama,01,522401,10790,270,0
2021-04-19,Alabama,01,522512,10790,111,0
2021-04-20,Alabama,01,523955,10798,1443,8
2021-04-21,Alabama,01,524367,10807,412,9
2021-04-22,Alabama,01,525049,10824,682,17
2021-04-23,Alabama,01,525477,10840,428,16
2021-04-24,Alabama,01,525898,10851,421,11
2021-04-25,Alabama,01,526131,10851,233,0
2021-04-26,Alabama,01,526348,10852,217,1
2021-04-27,Alabama,01,526707,10854,359,2
2021-04-28,Alabama,01,527083,10879,376,25
2021-04-29,Alabama,01,527513,10887,430,8
2021-04-30,Alabama,01,527922,10896,409,9
2021-05-01,Alabama,01,528309,10913,387,17
2021-05-02,Alabama,01,528597,10913,288,0
2021-05-03,Alabama,01,528784,10913,187,0
2021-05-04,Alabama,01,528784,10913,0,0
2021-05-05,Alabama,01,529446,10930,662,17
2021-05-06,Alabama,01,530011,10946,565,16
2021-05-07,Alabama,01,530325,10966,314,20
2021-05-08,Alabama,01,530744,10978,419,12
2021-05-09,Alabama,01,530988,10978,244,0
2021-05-10,Alabama,01,531094,10978,106,0
2021-05-11,Alabama,01,531404,10985,310,7
2021-05-12,Alabama,01,531751,10997,347,12
2021-05-13,Alabama,01,532895,11001,1144,4
2021-05-14,Alabama,01,537813,11024,4918,23
2021-05-15,Alabama,01,539829,11038,2016,14
2021-05-16,Alabama,01,540083,11038,254,0
2021-05-17,Alabama,01,540267,11038,184,0
2021-05-18,Alabama,01,540603,11043,336,5
2021-05-19,Alabama,01,540891,11045,288,2
2021-05-20,Alabama,01,541230,11077,339,32
2021-05-21,Alabama,01,541673,11080,443,3
2021-05-22,Alabama,01,541928,11112,255,32
2021-05-23,Alabama,01,542124,11112,196,0
2021-05-24,Alabama,01,542256,11112,132,0
2021-05-25,Alabama,01,542562,11124,306,12
2021-05-26,Alabama,01,542831,11138,269,14
2021-05-27,Alabama,01,543177,11140,346,2
2021-05-28,Alabama,01,543405,11146,228,6
2021-05-29,Alabama,01,543405,11146,0,0
2021-05-30,Alabama,01,543405,11146,0,0
2021-05-31,Alabama,01,543405,11146,0,0
2021-06-01,Alabama,01,544045,11156,640,10
2021-06-02,Alabama,01,544598,11167,553,11
2021-06-03,Alabama,01,545028,11188,430,21
2021-06-04,Alabama,01,545585,11198,557,10
2021-06-05,Alabama,01,545585,11198,0,0
2021-06-06,Alabama,01,545585,11198,0,0
2021-06-07,Alabama,01,546324,11217,739,19
2021-06-08,Alabama,01,546540,11220,216,3
2021-06-09,Alabama,01,546845,11249,305,29
2021-06-10,Alabama,01,547135,11252,290,3
2021-06-11,Alabama,01,547323,11266,188,14
2021-06-12,Alabama,01,547323,11266,0,0
2021-06-13,Alabama,01,547323,11266,0,0
2021-06-14,Alabama,01,547873,11274,550,8
2021-06-15,Alabama,01,548163,11281,290,7
2021-06-16,Alabama,01,548323,11288,160,7
2021-06-17,Alabama,01,548323,11288,0,0
2021-06-18,Alabama,01,548657,11306,334,18
2021-06-19,Alabama,01,548657,11306,0,0
2021-06-20,Alabama,01,548657,11306,0,0
2021-06-21,Alabama,01,549013,11311,356,5
2021-06-22,Alabama,01,549013,11311,0,0
2021-06-23,Alabama,01,549394,11328,381,17
2021-06-24,Alabama,01,549394,11328,0,0
2021-06-25,Alabama,01,549934,11336,540,8
2021-06-26,Alabama,01,549934,11336,0,0
2021-06-27,Alabama,01,549934,11336,0,0
2021-06-28,Alabama,01,550451,11338,517,2
2021-06-29,Alabama,01,550451,11338,0,0
2021-06-30,Alabama,01,550983,11352,532,14
2021-07-01,Alabama,01,550983,11352,0,0
2021-07-02,Alabama,01,551298,11358,315,6
2021-07-03,Alabama,01,551298,11358,0,0
2021-07-04,Alabama,01,551298,11358,0,0
2021-07-05,Alabama,01,551298,11358,0,0
2021-07-06,Alabama,01,551298,11358,0,0
2021-07-07,Alabama,01,552911,11387,1613,29
2021-07-08,Alabama,01,552911,11387,0,0
2021-07-09,Alabama,01,554071,11398,1160,11
2021-07-10,Alabama,01,554605,11402,534,4
2021-07-11,Alabama,01,554605,11402,0,0
2021-07-12,Alabama,01,555215,11402,610,0
2021-07-13,Alabama,01,555215,11402,0,0
2021-07-14,Alabama,01,556613,11428,1398,26
2021-07-15,Alabama,01,557578,11439,965,11
2021-07-16,Alabama,01,558577,11442,999,3
2021-07-17,Alabama,01,559478,11443,901,1
2021-07-18,Alabama,01,560202,11443,724,0
2021-07-19,Alabama,01,560920,11443,718,0
2021-07-20,Alabama,01,562311,11460,1391,17
2021-07-21,Alabama,01,563943,11462,1632,2
2021-07-22,Alabama,01,565510,11468,1567,6
2021-07-23,Alabama,01,567243,11472,1733,4
2021-07-24,Alabama,01,569131,11483,1888,11
2021-07-25,Alabama,01,570667,11483,1536,0
2021-07-26,Alabama,01,572070,11483,1403,0
2021-07-27,Alabama,01,574737,11492,2667,9
2021-07-28,Alabama,01,577463,11510,2726,18
2021-07-29,Alabama,01,580193,11516,2730,6
2021-07-30,Alabama,01,580193,11516,0,0
2021-07-31,Alabama,01,585607,11536,5414,20
2021-08-01,Alabama,01,587405,11536,1798,0
2021-08-02,Alabama,01,589110,11536,1705,0
2021-08-03,Alabama,01,592417,11542,3307,6
2021-08-04,Alabama,01,595816,11561,3399,19
2021-08-05,Alabama,01,599633,11574,3817,13
2021-08-06,Alabama,01,603318,11600,3685,26
2021-08-07,Alabama,01,607209,11624,3891,24
2021-08-08,Alabama,01,607209,11624,0,0
2021-08-09,Alabama,01,612086,11625,4877,1
2021-08-10,Alabama,01,615901,11648,3815,23
2021-08-11,Alabama,01,619752,11689,3851,41
2021-08-12,Alabama,01,623919,11724,4167,35
2021-08-13,Alabama,01,627905,11765,3986,41
2021-08-14,Alabama,01,627905,11765,0,0
2021-08-15,Alabama,01,634897,11798,6992,33
2021-08-16,Alabama,01,637363,11799,2466,1
2021-08-17,Alabama,01,641386,11832,4023,33
2021-08-18,Alabama,01,645851,11872,4465,40
2021-08-19,Alabama,01,649741,11914,3890,42
2021-08-20,Alabama,01,653540,11942,3799,28
2021-08-21,Alabama,01,659750,12000,6210,58
2021-08-22,Alabama,01,663065,12000,3315,0
2021-08-23,Alabama,01,665653,12000,2588,0
2021-08-24,Alabama,01,665653,12000,0,0
2021-08-25,Alabama,01,665653,12000,0,0
2021-08-26,Alabama,01,676795,12103,11142,103
2021-08-27,Alabama,01,681828,12153,5033,50
2021-08-28,Alabama,01,688018,12219,6190,66
2021-08-29,Alabama,01,691451,12222,3433,3
2021-08-30,Alabama,01,694523,12222,3072,0
2021-08-31,Alabama,01,699729,12283,5206,61
2021-09-01,Alabama,01,704420,12291,4691,8
2021-09-02,Alabama,01,709732,12330,5312,39
2021-09-03,Alabama,01,714860,12394,5128,64
2021-09-04,Alabama,01,719280,12414,4420,20
2021-09-05,Alabama,01,722122,12415,2842,1
2021-09-06,Alabama,01,724688,12416,2566,1
2021-09-07,Alabama,01,727360,12420,2672,4
2021-09-08,Alabama,01,732151,12488,4791,68
2021-09-09,Alabama,01,736518,12552,4367,64
2021-09-10,Alabama,01,741318,12605,4800,53
2021-09-11,Alabama,01,745812,12673,4494,68
2021-09-12,Alabama,01,747606,12676,1794,3
2021-09-13,Alabama,01,750298,12678,2692,2
2021-09-14,Alabama,01,754242,12718,3944,40
2021-09-15,Alabama,01,757893,12784,3651,66
2021-09-16,Alabama,01,761865,12856,3972,72
2021-09-17,Alabama,01,764839,13048,2974,192
2021-09-18,Alabama,01,768301,13209,3462,161
2021-09-19,Alabama,01,770391,13210,2090,1
2021-09-20,Alabama,01,772311,13210,1920,0
2021-09-21,Alabama,01,775531,13460,3220,250
2021-09-22,Alabama,01,778549,13665,3018,205
2021-09-23,Alabama,01,781915,13798,3366,133
2021-09-24,Alabama,01,784484,13921,2569,123
2021-09-25,Alabama,01,787421,14022,2937,101
2021-09-26,Alabama,01,789054,14022,1633,0
2021-09-27,Alabama,01,790648,14025,1594,3
2021-09-28,Alabama,01,792632,14155,1984,130
2021-09-29,Alabama,01,794773,14200,2141,45
2021-09-30,Alabama,01,796475,14299,1702,99
2021-10-01,Alabama,01,798320,14393,1845,94
2021-10-02,Alabama,01,799800,14469,1480,76
2021-10-03,Alabama,01,800692,14470,892,1
2021-10-04,Alabama,01,801428,14471,736,1
2021-10-05,Alabama,01,802977,14542,1549,71
2021-10-06,Alabama,01,804249,14612,1272,70
2021-10-07,Alabama,01,805511,14675,1262,63
2021-10-08,Alabama,01,806560,14756,1049,81
